Nome,Email,cpf,telefone,Titulo,Domain,BreachDate,AddedDate,ModifiedDate,PwnCount,Description,LogoPath,DataClasses,IsVerified,IsFabricated,IsSensitive,IsRetired,IsSpamList,IsMalware,IsSubscriptionFree
Milena Barros,milena.barros@dataleak.org,231.598.047-04,71 6645 8760,Credential Dump,dataleak.org,2024-05-16,2024-08-11,2024-08-27,5,At et consequatur. Nemo facilis molestiae qui ex delectus laudantium. Mollitia vero esse nam.,/logos/dataleak_org.png,"Phone numbers, Email addresses, Physical addresses",True,True,True,True,False,False,False
Maria Luiza Silva,maria.luiza.silva@testmail.com,584.132.960-05,31 3733-7953,Email Leak,testmail.com,2023-03-22,2023-04-07,2023-04-26,4,Voluptatibus nam explicabo corporis quos deleniti sit. Inventore unde repellendus.,/logos/testmail_com.png,"Usernames, Email addresses, Physical addresses",False,True,True,False,True,True,False
Rodrigo Viana,rodrigo.viana@dataleak.org,287.930.654-00,+55 21 3340 9046,Credential Dump,dataleak.org,2021-11-19,2021-12-13,2022-01-08,4,Possimus nesciunt qui tenetur. Ipsam officiis praesentium reprehenderit corrupti.,/logos/dataleak_org.png,"Physical addresses, Passwords, Usernames",True,False,True,False,True,False,True
Ana Julia Cavalcanti,ana.julia.cavalcanti@example.com,041.367.589-01,+55 (051) 9217-0203,Credential Dump,example.com,2021-01-13,2021-04-07,2021-05-06,5,Fugiat enim at ad. Modi dolore eligendi totam commodi saepe. Autem quae vero.,/logos/example_com.png,"Usernames, Email addresses, Physical addresses",False,False,True,True,False,True,True
Erick Pires,erick.pires@testmail.com,649.507.328-38,+55 84 8566-8356,Data Breach,testmail.com,2022-01-22,2022-04-02,2022-04-04,3,Excepturi numquam dolorem in aut illum laudantium.,/logos/testmail_com.png,Physical addresses,True,True,True,True,True,True,False
Ryan Ramos,ryan.ramos@testmail.com,831.657.249-46,0300-673-1703,Credential Dump,testmail.com,2022-04-01,2022-06-07,2022-06-30,2,Aperiam harum alias dignissimos. Iusto hic optio fuga fugit.,/logos/testmail_com.png,"Passwords, Email addresses, Phone numbers",True,True,False,False,False,True,True
Ana Peixoto,ana.peixoto@testmail.com,467.182.309-87,(021) 7670 4826,Email Leak,testmail.com,2022-04-19,2022-04-28,2022-05-03,10,"Nam non molestiae blanditiis.
Suscipit in iste quod vel. Asperiores earum nihil sit optio.",/logos/testmail_com.png,"Email addresses, Physical addresses",False,False,True,False,True,True,False
Heloísa Alves,heloísa.alves@testmail.com,369.514.708-39,0500 459 8544,Credential Dump,testmail.com,2022-07-30,2022-09-10,2022-10-02,5,Alias minus nemo ex minus quidem. Minima similique hic voluptatibus fugit aut voluptatibus.,/logos/testmail_com.png,"Email addresses, Phone numbers",False,True,True,True,True,True,False
Matheus Martins,matheus.martins@dataleak.org,136.972.805-03,+55 31 6306-9746,Credential Dump,dataleak.org,2022-08-04,2022-08-25,2022-09-09,7,Aut perferendis error consectetur consequuntur. Maiores culpa eum quae sed praesentium minima.,/logos/dataleak_org.png,"Passwords, Usernames, Email addresses",False,False,False,False,False,False,False
Pedro Miguel Ribeiro,pedro.miguel.ribeiro@example.com,438.196.257-55,84 3429-5497,Data Breach,example.com,2020-09-11,2020-10-27,2020-10-31,8,"Adipisci hic ab alias non.
Distinctio minus optio saepe explicabo.",/logos/example_com.png,"Usernames, Email addresses, Physical addresses",False,False,False,True,True,False,False
Matheus Azevedo,matheus.azevedo@example.com,162.547.380-07,(084) 1427-6330,Email Leak,example.com,2020-07-27,2020-08-28,2020-08-30,2,Eius dolorem distinctio assumenda. Assumenda excepturi similique fugit.,/logos/example_com.png,"Email addresses, Passwords",False,False,False,False,False,True,False
Julia Dias,julia.dias@example.com,631.497.528-09,+55 (081) 9089-6750,Credential Dump,example.com,2021-03-25,2021-06-18,2021-07-13,9,Commodi officiis voluptates. Adipisci sunt aspernatur porro rerum officia fugit aliquid.,/logos/example_com.png,"Email addresses, Physical addresses, Usernames",True,False,True,False,False,False,True
Breno Moura,breno.moura@testmail.com,645.098.327-29,(081) 8015 4392,Data Breach,testmail.com,2021-06-05,2021-07-14,2021-08-13,2,Ea totam sapiente libero necessitatibus. Natus modi accusantium.,/logos/testmail_com.png,"Usernames, Passwords",False,True,True,False,True,True,True
Yasmin Novaes,yasmin.novaes@dataleak.org,154.287.630-35,(011) 9653 0405,Email Leak,dataleak.org,2022-11-10,2022-12-02,2022-12-13,9,Tenetur perferendis vel. Beatae quaerat eligendi veritatis quos maiores explicabo.,/logos/dataleak_org.png,"Passwords, Usernames",False,True,True,True,False,False,True
Enzo Cavalcanti,enzo.cavalcanti@dataleak.org,015.742.896-67,+55 51 5600 7395,Email Leak,dataleak.org,2020-09-28,2020-12-25,2020-12-26,10,Reprehenderit excepturi repudiandae a molestiae.,/logos/dataleak_org.png,"Passwords, Email addresses, Phone numbers",True,False,False,True,False,False,True
Ana Sophia Martins,ana.sophia.martins@dataleak.org,529.630.418-70,+55 51 2254 7052,Data Breach,dataleak.org,2023-11-12,2024-01-19,2024-02-16,4,Minus at earum quod occaecati dolores. Recusandae officia libero aut ullam magnam suscipit.,/logos/dataleak_org.png,"Usernames, Physical addresses",True,False,True,True,True,False,True
Sophie Rodrigues,sophie.rodrigues@testmail.com,765.301.984-66,+55 (021) 3313 3860,Data Breach,testmail.com,2022-11-15,2023-01-09,2023-01-29,3,Sint quod ipsam error vel expedita. Quo iure vitae.,/logos/testmail_com.png,Passwords,False,True,False,True,True,False,True
Levi Ribeiro,levi.ribeiro@testmail.com,451.309.682-98,21 3319 7531,Credential Dump,testmail.com,2021-10-09,2021-10-25,2021-11-03,8,"Quos molestias sit officia impedit natus. Illum ea repellat earum.
Nesciunt saepe nostrum autem.",/logos/testmail_com.png,Physical addresses,False,False,True,True,True,False,True
Gabriel das Neves,gabriel.das.neves@example.com,829.514.037-04,+55 (021) 0785-5139,Email Leak,example.com,2023-09-11,2023-10-09,2023-10-13,5,Alias neque itaque minus ipsa.,/logos/example_com.png,"Phone numbers, Physical addresses, Passwords",True,False,False,False,True,False,False
